Name,# Sequences,Description
9,2,1 read from pCR18  PCR Product.fasta mapped to 9 using Bowtie2
9,4,3 reads from pCR21 PCR Product.fasta mapped to 9 using Bowtie2
9,3,2 reads from pCR22  PCR Product.fasta mapped to 9 using Bowtie2
9,4,3 reads from pCR24 PCR Product.fasta mapped to 9 using Bowtie2
9,15,14 reads from S_enterica_TCS4.fasta mapped to 9 using Bowtie2
9,2,1 read from V_cholera_TCS2 (reversed).fasta mapped to 9 using Bowtie2
9,3,2 reads from V_cholera_TCS4.fasta mapped to 9 using Bowtie2
9,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 9 using Bowtie2
10,2,1 read from B_theta_TCS2.fasta mapped to 10 using Bowtie2
10,1173,"1,172 reads from C_rodentium_TCS2 (reversed).fasta mapped to 10 using Bowtie2"
10,2,1 read from C_rodentium_TCS3.fasta mapped to 10 using Bowtie2
10,2,1 read from C_rodentium_TCS6 (reversed).fasta mapped to 10 using Bowtie2
10,3,2 reads from C_rodentium_TCS8.fasta mapped to 10 using Bowtie2
10,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 10 using Bowtie2
10,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 10 using Bowtie2
10,2,1 read from E_tarda_TCS6.fasta mapped to 10 using Bowtie2
10,3,2 reads from K_oxytoca_TCS1 (reversed).fasta mapped to 10 using Bowtie2
10,3,2 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 10 using Bowtie2
10,5,4 reads from pCR15  PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR16  PCR Product.fasta mapped to 10 using Bowtie2
10,3,2 reads from pCR17 PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR18  PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR21 PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR22  PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR23  PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from pCR24 PCR Product.fasta mapped to 10 using Bowtie2
10,2,1 read from V_cholera_TCS4.fasta mapped to 10 using Bowtie2
10,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 10 using Bowtie2
11,2,1 read from B_producta_TCS6.fasta mapped to 11 using Bowtie2
11,2,1 read from C_rodentium_TCS2 (reversed).fasta mapped to 11 using Bowtie2
11,2,1 read from C_rodentium_TCS3.fasta mapped to 11 using Bowtie2
11,2,1 read from C_rodentium_TCS5 (reversed).fasta mapped to 11 using Bowtie2
11,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 11 using Bowtie2
11,4,3 reads from E_tarda_TCS7.fasta mapped to 11 using Bowtie2
11,2,1 read from K_oxytoca_TCS1 (reversed).fasta mapped to 11 using Bowtie2
11,3,2 reads from pCR15  PCR Product.fasta mapped to 11 using Bowtie2
11,2,1 read from pCR16  PCR Product.fasta mapped to 11 using Bowtie2
11,3,2 reads from pCR18  PCR Product.fasta mapped to 11 using Bowtie2
11,2,1 read from pCR21 PCR Product.fasta mapped to 11 using Bowtie2
11,3,2 reads from pCR24 PCR Product.fasta mapped to 11 using Bowtie2
11,3,2 reads from V_cholera_TCS2 (reversed).fasta mapped to 11 using Bowtie2
11,1110,"1,109 reads from Y_enterocolitica_TCS3.fasta mapped to 11 using Bowtie2"
12,2,1 read from B_theta_TCS2.fasta mapped to 12 using Bowtie2
12,2,1 read from C_rodentium_TCS3.fasta mapped to 12 using Bowtie2
12,2,1 read from C_rodentium_TCS5 (reversed).fasta mapped to 12 using Bowtie2
12,2,1 read from C_rodentium_TCS6 (reversed).fasta mapped to 12 using Bowtie2
12,2,1 read from C_rodentium_TCS7 (reversed).fasta mapped to 12 using Bowtie2
12,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 12 using Bowtie2
12,6,5 reads from C_rodentium_TCS10 (reversed).fasta mapped to 12 using Bowtie2
12,4,3 reads from E_tarda_TCS6.fasta mapped to 12 using Bowtie2
12,5,4 reads from E_tarda_TCS7.fasta mapped to 12 using Bowtie2
12,1752,"1,751 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 12 using Bowtie2"
12,2,1 read from K_pneumoniae_TCS10.fasta mapped to 12 using Bowtie2
12,2,1 read from L_plantarum_TCS2.fasta mapped to 12 using Bowtie2
12,7,6 reads from pCR15  PCR Product.fasta mapped to 12 using Bowtie2
12,8,7 reads from pCR16  PCR Product.fasta mapped to 12 using Bowtie2
12,6,5 reads from pCR17 PCR Product.fasta mapped to 12 using Bowtie2
12,3,2 reads from pCR18  PCR Product.fasta mapped to 12 using Bowtie2
12,11,10 reads from pCR21 PCR Product.fasta mapped to 12 using Bowtie2
12,3,2 reads from pCR22  PCR Product.fasta mapped to 12 using Bowtie2
12,7,6 reads from pCR23  PCR Product.fasta mapped to 12 using Bowtie2
12,7,6 reads from pCR24 PCR Product.fasta mapped to 12 using Bowtie2
12,2,1 read from V_cholera_TCS2 (reversed).fasta mapped to 12 using Bowtie2
12,2,1 read from V_cholera_TCS4.fasta mapped to 12 using Bowtie2
12,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 12 using Bowtie2
13,452,451 reads from C_rodentium_TCS5 (reversed).fasta mapped to 13 using Bowtie2
13,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 13 using Bowtie2
13,3,2 reads from C_rodentium_TCS10 (reversed).fasta mapped to 13 using Bowtie2
13,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 13 using Bowtie2
13,2,1 read from E_tarda_TCS6.fasta mapped to 13 using Bowtie2
13,2,1 read from K_pneumonia_TCS7.fasta mapped to 13 using Bowtie2
13,2,1 read from K_pneumonia_TCS8 (reversed).fasta mapped to 13 using Bowtie2
13,2,1 read from pCR17 PCR Product.fasta mapped to 13 using Bowtie2
13,2,1 read from pCR18  PCR Product.fasta mapped to 13 using Bowtie2
13,2,1 read from pCR23  PCR Product.fasta mapped to 13 using Bowtie2
13,2,1 read from V_cholera_TCS4.fasta mapped to 13 using Bowtie2
14,5,4 reads from C_rodentium_TCS4.fasta mapped to 14 using Bowtie2
14,2,1 read from C_rodentium_TCS8.fasta mapped to 14 using Bowtie2
14,2,1 read from K_pneumonia_TCS3 (reversed).fasta mapped to 14 using Bowtie2
14,277,276 reads from K_pneumonia_TCS7.fasta mapped to 14 using Bowtie2
14,3,2 reads from pCR15  PCR Product.fasta mapped to 14 using Bowtie2
14,2,1 read from pCR21 PCR Product.fasta mapped to 14 using Bowtie2
14,2,1 read from pCR24 PCR Product.fasta mapped to 14 using Bowtie2
15,2,1 read from C_rodentium_TCS2 (reversed).fasta mapped to 15 using Bowtie2
15,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 15 using Bowtie2
15,71,70 reads from C_rodentium_TCS10 (reversed).fasta mapped to 15 using Bowtie2
15,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 15 using Bowtie2
15,7,6 reads from E_tarda_TCS5 (reversed).fasta mapped to 15 using Bowtie2
15,3,2 reads from E_tarda_TCS7.fasta mapped to 15 using Bowtie2
15,2,1 read from K_pneumonia_TCS3 (reversed).fasta mapped to 15 using Bowtie2
15,2,1 read from K_pneumonia_TCS9 (reversed).fasta mapped to 15 using Bowtie2
15,1707,"1,706 reads from K_pneumoniae_TCS10.fasta mapped to 15 using Bowtie2"
15,3,2 reads from pCR15  PCR Product.fasta mapped to 15 using Bowtie2
15,6,5 reads from pCR16  PCR Product.fasta mapped to 15 using Bowtie2
15,3,2 reads from pCR17 PCR Product.fasta mapped to 15 using Bowtie2
15,2,1 read from pCR18  PCR Product.fasta mapped to 15 using Bowtie2
15,5,4 reads from pCR21 PCR Product.fasta mapped to 15 using Bowtie2
15,2,1 read from pCR23  PCR Product.fasta mapped to 15 using Bowtie2
15,5,4 reads from pCR24 PCR Product.fasta mapped to 15 using Bowtie2
15,6,5 reads from S_enterica_TCS3.fasta mapped to 15 using Bowtie2
15,2,1 read from S_enterica_TCS4.fasta mapped to 15 using Bowtie2
15,3,2 reads from S_enterica_TCS_ttrSRRIG.fasta mapped to 15 using Bowtie2
15,2,1 read from V_cholera_TCS4.fasta mapped to 15 using Bowtie2
15,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 15 using Bowtie2
15,2,1 read from Y_enterocolitica_TCS5.fasta mapped to 15 using Bowtie2
16,106,105 reads from E_faecalis_TCS2 (reversed).fasta mapped to 16 using Bowtie2
16,2,1 read from K_oxytoca_TCS1 (reversed).fasta mapped to 16 using Bowtie2
16,3,2 reads from pCR15  PCR Product.fasta mapped to 16 using Bowtie2
16,2,1 read from pCR16  PCR Product.fasta mapped to 16 using Bowtie2
16,2,1 read from pCR21 PCR Product.fasta mapped to 16 using Bowtie2
17,2,1 read from C_rodentium_TCS8.fasta mapped to 17 using Bowtie2
17,3,2 reads from C_rodentium_TCS9 (reversed).fasta mapped to 17 using Bowtie2
17,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 17 using Bowtie2
17,2,1 read from E_tarda_TCS2 (reversed).fasta mapped to 17 using Bowtie2
17,712,711 reads from E_tarda_TCS7.fasta mapped to 17 using Bowtie2
17,2,1 read from K_pneumoniae_TCS10.fasta mapped to 17 using Bowtie2
17,7,6 reads from pCR15  PCR Product.fasta mapped to 17 using Bowtie2
17,3,2 reads from pCR16  PCR Product.fasta mapped to 17 using Bowtie2
17,3,2 reads from pCR18  PCR Product.fasta mapped to 17 using Bowtie2
17,3,2 reads from pCR21 PCR Product.fasta mapped to 17 using Bowtie2
17,2,1 read from pCR22  PCR Product.fasta mapped to 17 using Bowtie2
17,3,2 reads from pCR23  PCR Product.fasta mapped to 17 using Bowtie2
17,3,2 reads from pCR24 PCR Product.fasta mapped to 17 using Bowtie2
17,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 17 using Bowtie2
18,2,1 read from C_rodentium_TCS8.fasta mapped to 18 using Bowtie2
18,3,2 reads from C_rodentium_TCS10 (reversed).fasta mapped to 18 using Bowtie2
18,672,671 reads from E_tarda_TCS7.fasta mapped to 18 using Bowtie2
18,2,1 read from K_pneumoniae_TCS10.fasta mapped to 18 using Bowtie2
18,2,1 read from pCR15  PCR Product.fasta mapped to 18 using Bowtie2
18,4,3 reads from pCR16  PCR Product.fasta mapped to 18 using Bowtie2
18,2,1 read from pCR17 PCR Product.fasta mapped to 18 using Bowtie2
18,2,1 read from pCR18  PCR Product.fasta mapped to 18 using Bowtie2
18,3,2 reads from pCR21 PCR Product.fasta mapped to 18 using Bowtie2
18,3,2 reads from pCR22  PCR Product.fasta mapped to 18 using Bowtie2
19,2,1 read from C_rodentium_TCS2 (reversed).fasta mapped to 19 using Bowtie2
19,3,2 reads from C_rodentium_TCS6 (reversed).fasta mapped to 19 using Bowtie2
19,5,4 reads from C_rodentium_TCS9 (reversed).fasta mapped to 19 using Bowtie2
19,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 19 using Bowtie2
19,3,2 reads from E_tarda_TCS7.fasta mapped to 19 using Bowtie2
19,2,1 read from K_oxytoca_TCS1 (reversed).fasta mapped to 19 using Bowtie2
19,641,640 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 19 using Bowtie2
19,6,5 reads from pCR16  PCR Product.fasta mapped to 19 using Bowtie2
19,3,2 reads from pCR17 PCR Product.fasta mapped to 19 using Bowtie2
19,2,1 read from pCR18  PCR Product.fasta mapped to 19 using Bowtie2
19,3,2 reads from pCR21 PCR Product.fasta mapped to 19 using Bowtie2
19,2,1 read from pCR22  PCR Product.fasta mapped to 19 using Bowtie2
19,4,3 reads from pCR23  PCR Product.fasta mapped to 19 using Bowtie2
19,2,1 read from pCR24 PCR Product.fasta mapped to 19 using Bowtie2
19,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 19 using Bowtie2
20,2,1 read from B_frag_TCS3.fasta mapped to 20 using Bowtie2
20,2,1 read from B_producta_TCS6.fasta mapped to 20 using Bowtie2
20,2,1 read from C_rodentium_TCS2 (reversed).fasta mapped to 20 using Bowtie2
20,2,1 read from C_rodentium_TCS3.fasta mapped to 20 using Bowtie2
20,3,2 reads from C_rodentium_TCS5 (reversed).fasta mapped to 20 using Bowtie2
20,5,4 reads from C_rodentium_TCS10 (reversed).fasta mapped to 20 using Bowtie2
20,2,1 read from E_faecalis_TCS2 (reversed).fasta mapped to 20 using Bowtie2
20,3,2 reads from E_tarda_TCS7.fasta mapped to 20 using Bowtie2
20,2,1 read from K_oxytoca_TCS1 (reversed).fasta mapped to 20 using Bowtie2
20,1010,"1,009 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 20 using Bowtie2"
20,4,3 reads from pCR15  PCR Product.fasta mapped to 20 using Bowtie2
20,5,4 reads from pCR16  PCR Product.fasta mapped to 20 using Bowtie2
20,2,1 read from pCR17 PCR Product.fasta mapped to 20 using Bowtie2
20,7,6 reads from pCR18  PCR Product.fasta mapped to 20 using Bowtie2
20,2,1 read from pCR21 PCR Product.fasta mapped to 20 using Bowtie2
20,2,1 read from pCR22  PCR Product.fasta mapped to 20 using Bowtie2
20,2,1 read from pCR23  PCR Product.fasta mapped to 20 using Bowtie2
20,3,2 reads from pCR24 PCR Product.fasta mapped to 20 using Bowtie2
20,3,2 reads from Y_enterocolitica_TCS3.fasta mapped to 20 using Bowtie2
21,124,123 reads from B_frag_TCS3.fasta mapped to 21 using Bowtie2
21,2,1 read from E_faecalis_TCS3 (reversed).fasta mapped to 21 using Bowtie2
21,2,1 read from K_pneumoniae_TCS10.fasta mapped to 21 using Bowtie2
21,2,1 read from pCR21 PCR Product.fasta mapped to 21 using Bowtie2
22,8,7 reads from C_rodentium_TCS11 (reversed).fasta mapped to 22 using Bowtie2
23,2,1 read from B_frag_TCS3.fasta mapped to 23 using Bowtie2
23,566,565 reads from C_rodentium_TCS9 (reversed).fasta mapped to 23 using Bowtie2
23,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 23 using Bowtie2
23,2,1 read from E_tarda_TCS7.fasta mapped to 23 using Bowtie2
23,11,10 reads from K_oxytoca_TCS1 (reversed).fasta mapped to 23 using Bowtie2
23,2,1 read from K_pneumonia_TCS5.fasta mapped to 23 using Bowtie2
23,3,2 reads from pCR15  PCR Product.fasta mapped to 23 using Bowtie2
23,3,2 reads from pCR16  PCR Product.fasta mapped to 23 using Bowtie2
23,2,1 read from pCR21 PCR Product.fasta mapped to 23 using Bowtie2
23,2,1 read from pCR24 PCR Product.fasta mapped to 23 using Bowtie2
23,2,1 read from S_enterica_TCS1.fasta mapped to 23 using Bowtie2
23,12,11 reads from S_enterica_TCS4.fasta mapped to 23 using Bowtie2
24,7,6 reads from C_rodentium_TCS11 (reversed).fasta mapped to 24 using Bowtie2
25,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 25 using Bowtie2
25,128,127 reads from E_faecalis_TCS2 (reversed).fasta mapped to 25 using Bowtie2
25,2,1 read from pCR15  PCR Product.fasta mapped to 25 using Bowtie2
25,2,1 read from pCR21 PCR Product.fasta mapped to 25 using Bowtie2
26,2,1 read from C_rodentium_TCS9 (reversed).fasta mapped to 26 using Bowtie2
26,2,1 read from C_rodentium_TCS10 (reversed).fasta mapped to 26 using Bowtie2
26,2,1 read from K_oxytoca_TCS1 (reversed).fasta mapped to 26 using Bowtie2
26,4,3 reads from K_pneumonia_TCS3 (reversed).fasta mapped to 26 using Bowtie2
26,2,1 read from K_pneumonia_TCS7.fasta mapped to 26 using Bowtie2
26,2,1 read from K_pneumoniae_TCS10.fasta mapped to 26 using Bowtie2
26,2,1 read from pCR15  PCR Product.fasta mapped to 26 using Bowtie2
26,2,1 read from pCR21 PCR Product.fasta mapped to 26 using Bowtie2
26,2,1 read from pCR23  PCR Product.fasta mapped to 26 using Bowtie2
26,487,486 reads from V_cholera_TCS4.fasta mapped to 26 using Bowtie2
26,2,1 read from Y_enterocolitica_TCS1 (reversed).fasta mapped to 26 using Bowtie2
27,2,1 read from C_rodentium_TCS1.fasta mapped to 27 using Bowtie2
27,3,2 reads from C_rodentium_TCS5 (reversed).fasta mapped to 27 using Bowtie2
27,2,1 read from C_rodentium_TCS8.fasta mapped to 27 using Bowtie2
27,4,3 reads from C_rodentium_TCS9 (reversed).fasta mapped to 27 using Bowtie2
27,2,1 read from K_pneumonia_TCS7.fasta mapped to 27 using Bowtie2
27,2,1 read from K_pneumonia_TCS9 (reversed).fasta mapped to 27 using Bowtie2
27,2,1 read from K_pneumoniae_TCS10.fasta mapped to 27 using Bowtie2
27,2,1 read from L_plantarum_TCS2.fasta mapped to 27 using Bowtie2
27,4,3 reads from pCR15  PCR Product.fasta mapped to 27 using Bowtie2
27,2,1 read from pCR16  PCR Product.fasta mapped to 27 using Bowtie2
27,2,1 read from pCR23  PCR Product.fasta mapped to 27 using Bowtie2
27,2,1 read from pCR24 PCR Product.fasta mapped to 27 using Bowtie2
27,2,1 read from S_enterica_TCS_ttrSRRIG.fasta mapped to 27 using Bowtie2
27,693,692 reads from V_cholera_TCS4.fasta mapped to 27 using Bowtie2
27,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 27 using Bowtie2
28,2,1 read from C_rodentium_TCS7 (reversed).fasta mapped to 28 using Bowtie2
28,70,69 reads from C_rodentium_TCS9 (reversed).fasta mapped to 28 using Bowtie2
28,4,3 reads from E_tarda_TCS7.fasta mapped to 28 using Bowtie2
28,9,8 reads from K_oxytoca_TCS1 (reversed).fasta mapped to 28 using Bowtie2
28,3,2 reads from K_pneumoniae_TCS10.fasta mapped to 28 using Bowtie2
28,2,1 read from pCR15  PCR Product.fasta mapped to 28 using Bowtie2
28,2,1 read from pCR16  PCR Product.fasta mapped to 28 using Bowtie2
28,2,1 read from pCR21 PCR Product.fasta mapped to 28 using Bowtie2
28,478,477 reads from S_enterica_TCS4.fasta mapped to 28 using Bowtie2
28,2,1 read from Y_enterocolitica_TCS1 (reversed).fasta mapped to 28 using Bowtie2
28,2,1 read from Y_enterocolitica_TCS3.fasta mapped to 28 using Bowtie2
29,2,1 read from B_frag_TCS3.fasta mapped to 29 using Bowtie2
